Triple,Anomaly Description,Correction Suggestion
28. 1920-##-## -> bornIn -> 1915-##-##,Date as object in bornIn,Use birth location.
30. County_Roscommon -> bornIn -> 1867-##-##,Year as object in bornIn,Use birth location.
1. Normandy -> bornIn -> Oliver_the_Eighth,Invalid birth location,Correct location entity.
3. The_Forward_Pass -> bornOnDate -> Rapides_Parish,_Louisiana,"Entity mismatch for birth date, Correct date entity."
5. The_Talk_of_the_Town_(1942_film) -> bornOnDate -> 1974-01-17,Invalid date for film,Correct date entity.
6. The_Student_of_Prague_(1926_film) -> bornOnDate -> Mineral_Point,_Wisconsin,"Invalid location for film, Correct location entity."
7. 1900-##-## -> bornIn -> The_Pleasure_Seekers,Date cannot be born in film,Correct location entity.
8. Oskemen -> bornIn -> Montreal,Entity mismatch,Correct location entity.
9. Don%27t_Drink_the_Water_(film) -> bornIn -> 1599-08-##,Invalid date for film,Correct date entity.
12. 1953-09-28 -> actedIn -> 1975-##-##,Invalid relation for date,Correct relation entity.
13. NHL_2Night -> bornIn -> Cavan,Media cannot be born,Correct relation or location.
14. Šahy -> bornOnDate -> Meerut,Entity mismatch,Correct location entity.
16. The_Longest_Day_(film) -> actedIn -> Misiones_Province,Invalid relation for film,Correct relation entity.
17. Coimbatore -> bornIn -> Sale_of_the_Century_(US_game_show),City cannot be born in show,Correct location entity.
2. The_Serpent%27s_Egg_(film) -> bornOnDate -> 1891-##-##,Films cannot be born,Use film release date.
4. Chicago -> bornIn -> Atoll_K,Location cannot be bornIn,Use person's name who was born there.
5. Princess_Nikki -> actedIn -> 1885-##-##,Dates cannot be actedIn,Use show or film name.
7. 1841-##-## -> bornIn -> 1920-##-##,Dates cannot be birthplace,Use location name.
8. Yorkton -> bornOnDate -> Buffalo_Grove,_Illinois,"Location cannot be bornOnDate, Use established date or similar."
9. New_Brunswick -> bornIn -> 1891-##-##,Dates cannot be birthplace,Use person's name who was born there.
10. 1907-09-19 -> bornOnDate -> Pittsburgh,_Pennsylvania,"Dates should not be linked to locations, Use birth record."
11. Whale_Rider -> bornIn -> 1910-##-##,Dates cannot be birthplace,Use location or creator entity.
12. No_te_engañes_corazón -> bornIn -> The_%241,0,"000_Reward, Films cannot be birthplace, Use creator or location."
14. 1981-04-19 -> bornIn -> 1976-05-25,Dates cannot be birthplace,Use location.
16. 1942-07-26 -> bornIn -> Everything_Goes,Dates cannot be birthplace,Use location or creator.
17. Seoul_Train -> actedIn -> Boy_on_a_Dolphin,Films cannot act,Use contributors or actors.
19. 1964-##-## -> bornIn -> Wiesbaden,Dates cannot be birthplace,Use person's name.
20. The_Back_Page -> bornIn -> Without_Warning%21,Films cannot be birthplace,Use creator or location.
21. A_Blade_in_the_Dark -> bornIn -> House_of_Flying_Daggers,Films cannot be birthplace,Use location or creator.
22. A_Quiet_Little_Wedding -> actedIn -> Jordan,Films cannot act,Use contributors or actors.
23. Palace_of_Versailles -> bornIn -> 1929-##-##,Dates cannot be birthplace,Use person's name who was born there.
24. Indecent_Proposal -> bornIn -> Bendito_infierno,Films cannot be birthplace,Use location or creator.
25. New_York_City -> bornIn -> The_Little_Rascals_(animated_TV_series),Films cannot be birthplace,Use person's name who was born there.
26. Rendition_(film) -> bornOnDate -> Kermanshah,Locations cannot be bornOnDate,Use release date.
27. Camden_Town -> actedIn -> 1956-05-13,Dates cannot be actedIn,Use event or name.
28. 1947-##-## -> bornOnDate -> 1620-##-##,Both are dates,Use person or location.
2. 1924-##-## -> bornOnDate -> 1977-##-##,Both should be dates,Correct relationships.
4. The_Magic_Window -> bornOnDate -> Jersey_City,_New_Jersey,"Entity mismatch, Swap entities."
6. 1939-04-07 -> actedIn -> Southern_England,Entity mismatch,Correct entities.
7. 1779-##-## -> actedIn -> Raajjiyam,Date can't act,Correct entities.
8. This_Above_All -> bornIn -> 1784-##-##,Work can't be born,Correct relationship.
9. Buddy_Buddy -> actedIn -> Bring_It_On_(film),Works can't act,Correct entities.
10. Ireland -> bornOnDate -> Lexington,_Kentucky,"Location mismatch, Correct relationship."
11. Like_Minds -> bornOnDate -> Mateo_(film),Film doesn't have birth date,Correct entities.
13. Project%3B_Metalbeast -> bornOnDate -> 1841-09-28,Work can't have birth date,Correct entities.
14. To_the_Shores_of_Tripoli -> bornOnDate -> Anchorage,_Alaska,"Location isn't birth date, Swap entities."
15. Mighty_Max_(TV_series) -> bornIn -> Ernest_Goes_to_Camp,Incorrect subject type,Correct relationship.
16. Vega%24 -> bornOnDate -> Stargate_(film),Works don't have birth dates,Correct relationship.
1. Stagecoach_West_(TV_series) -> bornOnDate -> Rockpalast_(Cold_Chisel),Non-human entities,Replace 'bornOnDate' with appropriate relationship.
2. 1898-06-26 -> bornOnDate -> Virginia,Improper subject,Move date to 'Virginia'.
3. New_York_City -> actedIn -> New_York_City,Self-referencing issue,Verify or remove duplicate.
4. Paltamo -> bornOnDate -> Ghulam,Non-human entities,Replace 'bornOnDate' with appropriate relationship.
6. The_Pirate -> bornIn -> 1853-##-##,Date as object,Use an entity as object.
7. Ballad_of_a_Soldier -> bornIn -> Laxenburg,Non-human entities,Replace 'bornIn' with appropriate relationship.
8. Arusha -> bornIn -> 1982-##-##,Date as object,Use an entity as object.
9. 1956-##-## -> bornIn -> Wanna_Bet%3F,Date as subject,Use an entity as subject.
10. Singaravelan_(film) -> bornOnDate -> Waterbury,_Connecticut,"Non-human entities, Replace 'bornOnDate' with appropriate relationship."
11. The_Legend_of_Hell_House -> bornOnDate -> Deathsport,Non-human entities,Replace 'bornOnDate' with appropriate relationship.
14. The_Girl_Who_Knew_Too_Much_(1969_film) -> bornOnDate -> Get_Shorty_(film),Non-human entities,Replace 'bornOnDate' with appropriate relationship.
15. 1725-##-## -> actedIn -> Chicago,Date as subject,Use an entity as subject.
17. Deserving_Design -> bornIn -> Louisiana,Non-human entities,Replace 'bornIn' with appropriate relationship.
18. 1841-##-## -> bornOnDate -> Albuquerque,_New_Mexico,"Date as subject, Use an entity as subject."
19. 1906-01-16 -> bornOnDate -> Freaked,Date as subject,Use an entity as subject.
20. 1965-##-## -> bornIn -> Office_Romance_(film),Date as subject,Use an entity as subject.
21. Babes_in_Toyland_(1961_film) -> bornIn -> Fata_Morgana_(2007_film),Non-human entities,Replace 'bornIn' with appropriate relationship.
23. Police_Rescue -> actedIn -> 1952-##-##,Date as object,Use an entity as object.
24. Boat_People_(film) -> bornOnDate -> Cambridge,_Massachusetts,"Non-human entities, Replace 'bornOnDate' with appropriate relationship."
25. Arul -> bornIn -> Hamilton,_Ontario,"Human verification, Confirm 'Arul' as human."
26. 1581-##-## -> actedIn -> Savannah,_Georgia,"Date as subject, Use an entity as subject."
27. Dover -> bornIn -> 1885-##-##,Date as object,Use an entity as object.
1. New_York -> actedIn -> Salem,_Indiana,"Invalid entity relationship, Change 'actedIn' to appropriate relation."
2. Cavite_City -> bornIn -> Vicksburg,_Mississippi,"Invalid entity relationship, Change 'bornIn' to appropriate relation."
4. 1944-##-## -> actedIn -> Havana,Invalid date entity,Correct the date format or entity.
5. The_Basketball_Diaries_(film) -> bornIn -> Spike_of_Bensonhurst,Invalid entity relationship,Change 'bornIn' to 'filmedIn'.
6. Brisbane -> bornIn -> Burns_Lake,_British_Columbia,"Invalid entity relationship, Change 'bornIn' to 'twinCity'."
7. Wylam -> bornIn -> Kuruthipunal,Invalid entity relationship,Change 'bornIn' to 'twinCity'.
8. Copenhagen -> bornIn -> 1796-##-##,Invalid date as birthplace,Use a location entity.
9. Return_of_the_Saint -> actedIn -> Carry_On_Jack,Invalid role relationship,Use 'sequelTo' or 'relatedTo'.
10. 1942-##-## -> bornOnDate -> 1795-##-##,Invalid date entity relationship,Correct the entities and relation.
12. Fantastic_Four_(1967_TV_series) -> bornIn -> Lehr,_North_Dakota,"Invalid entity relationship, Change 'bornIn' to 'setIn'."
14. 1819-09-06 -> bornIn -> 181-##-##,Invalid date entity,Correct the date format or entity.
15. The_Kickback -> actedIn -> Ashcroft,_New_South_Wales,"Invalid role relationship, Use 'performedIn' or similar role."
16. Chance_in_a_Million -> bornOnDate -> Morristown,_New_Jersey,"Invalid entity relationship, Change 'bornOnDate' to another relation."
18. Pelusium -> bornIn -> House_of_Wax_(1953_film),Invalid entity relationship,Change 'bornIn' to 'depictedIn'.
19. Oliver_Twist_(1948_film) -> bornIn -> Chicago,Invalid entity relationship,Change 'bornIn' to 'setIn'.
20. The_Door_in_the_Floor -> bornOnDate -> 1980-04-24,Invalid entity relationship,Change 'bornOnDate' to release/relation.
21. DiG%21 -> bornIn -> 1887-02-20,Invalid entity relationship,Replace date with a location entity.
22. Hot_Potato_(film) -> bornOnDate -> A_Time_for_Dancing,Invalid relationship/entity,Use 'releaseDate' instead.
23. Down_(film) -> actedIn -> 1893-11-27,Invalid date entity,Correct the date format or entity.
24. Aquaman_(TV_program) -> actedIn -> Łódź,Invalid role relationship,Use 'setIn' or 'filmedIn'.
2. How_To_Be -> bornOnDate -> 1318-##-##,Movie cannot have a birth date,Use release date.
3. Philadelphia -> bornIn -> Prizren,Cities cannot be birthplace,Correct to location context.
4. Karlsruhe -> actedIn -> 1973-07-30,City cannot act,Correct entity and relationship.
5. 1951-##-## -> actedIn -> 1928-08-07,Date cannot act,Use valid actor and role.
6. 1874-##-## -> bornIn -> Johnny_Angel,Dates cannot have birthplace,Correct to person entity.
7. 1960-##-## -> actedIn -> Reading,_Pennsylvania,"Date cannot act, Use valid actor and role."
8. The_Big_White -> bornIn -> Oak_Grove,_Louisiana,"Movie cannot be born in locations, Use release location."
9. Lost_(2004_film) -> bornOnDate -> 1962-##-##,Film cannot have a birth date,Use release date.
10. Vienna -> actedIn -> 1938-##-##,City cannot act,Correct entity and relationship.
11. 1731-##-## -> bornOnDate -> 628-##-##,Date cannot have a birth date,Use correct format.
12. 1918-08-20 -> bornOnDate -> 1978-11-09,Date cannot have a birth date,Correct contradictions.
13. Daugavpils -> bornOnDate -> Flick_(film),City cannot have a birth date,Use release information.
15. Belarus -> bornIn -> Burlington,_Ontario,"Country cannot be born in city, Correct to location context."
16. New_Jersey -> bornIn -> 1938-07-18,State cannot be birthplace,Correct entity types.
17. Titanic_(TV_miniseries) -> bornOnDate -> To_the_Last_Man_(1933_film),TV show cannot have birth date,Use release date.
18. The_Bronx -> actedIn -> 1907-09-22,Borough cannot act,Correct entity and relationship.
19. 1941-09-09 -> bornIn -> Romance_on_the_High_Seas,Date cannot be birthplace,Use correct entities.
20. The_Brass_Bullet -> bornOnDate -> The_Hidden_II,Movies cannot have birth dates,Use release information.
26. Spiritual_Kung-Fu -> bornOnDate -> Boston,_Massachusetts,"Movie cannot have birth date, Use release location."
28. Circle_of_Friends_(film) -> bornOnDate -> 1912-01-06,Film cannot have birth date,Use release date.
29. Rome -> bornOnDate -> 1966-##-##,City cannot have dates,Use correct context.
30. Love_Actually -> actedIn -> Star_Jones_(TV_series),Movie cannot act in TV series,Use participate context.
1. The_Vicar_of_Dibley -> bornOnDate -> Hong_Kong,Invalid data type for date,Use valid date format
2. Kings_of_the_Sun -> bornOnDate -> Dublin,Invalid data type for date,Use valid date format
3. Forbidden_(1984_film) -> actedIn -> 1897-05-29,Date used for film,Use actor/entity name
4. 1879-##-## -> bornIn -> Louisiana,Non-entity before '->',Use person/entity name
5. 1837-##-## -> bornIn -> Dniestr_Melodies,Non-entity before '->',Use person/entity name
7. 1778-08-20 -> bornIn -> Dhoom_Machaao_Dhoom,Non-entity before '->',Use person/entity name
8. 1894-##-## -> bornOnDate -> 14##-##-##,Invalid future date,Use past/accurate date
9. Clancy_Street_Boys -> actedIn -> Summerside,_Prince_Edward_Island,"Location used instead of person, Use actor/entity name"
11. North_Carolina -> bornIn -> 1972-11-13,Invalid place for date,Use valid entity/place
12. Cairo -> bornOnDate -> Boston,_Massachusetts,"Places used invalidly as a date, Use valid date"
13. Zürich -> bornOnDate -> 1941-05-11,Invalid place for date,Use valid date
14. 1416-##-## -> actedIn -> 150#-##-##,Non-entity before '->',Use person/entity name
15. Mister_Lonely -> bornIn -> Candles_in_the_Dark,Invalid place for birth,Use valid place/entity
16. Mr._Deeds_Goes_to_Town -> bornOnDate -> Family_Honeymoon,Invalid data type for date,Use valid date format
17. A_Very_Long_Engagement -> actedIn -> Merrick,_New_York,"Location used instead of person, Use actor/entity name"
18. The_Sentinel_(1977_film) -> bornIn -> 1988_MTV_Video_Music_Awards,Events used invalidly,Use valid location
Prom_Night_(2008_film) -> actedIn -> Attagasam,Invalid movie role logic,Reevaluate connection roles
Frankfurt_am_Main -> actedIn -> Kolya,Invalid movie role logic,Reevaluate connection roles
Into_the_Mirror -> actedIn -> Saint-André-d%27Hébertot,Invalid movie role logic,Reevaluate connection roles
Esbjerg -> bornIn -> Tehran,City can't be born,Correct nodes
Martha_(TV_series) -> bornIn -> Colchester,TV series can't be born,Correct nodes
After_the_Storm_(film) -> bornIn -> That_%2780s_Show,Film can't be born,Correct nodes
End_of_Days_(film) -> bornOnDate -> Initial_D_(film),Film can't be born on date,Correct nodes
Egypt -> actedIn -> Night_Warning,Country can't act in film,Correct nodes
Nagykanizsa -> bornIn -> Hyderabad,_India,"City can't be born, Correct nodes"
1920-##-## -> actedIn -> She_Spies,Date can't act,Correct nodes
Leicester -> actedIn -> 1918-##-##,Invalid movie role logic,Reevaluate connection roles
A_Perfect_World -> bornIn -> Sale_of_the_Century_(US_game_show),Film can't be born,Correct nodes
The_Cuckoo_Waltz -> bornIn -> The_Comeback_(TV_series),TV/Film can't be born,Correct nodes
Berlin_Alexanderplatz_(television) -> bornIn -> 1970-10-20,TV can't be born on date,Correct nodes
1. Dafydd_ap_Gwilym -> bornIn -> The_Biggest_Loser_Australia_(Season_1),Invalid birthplace,Use a valid location name.
2. Asia_Carrera -> bornOnDate -> Ljubljana,Invalid birthplace in date field,Use a valid date.
3. Hjalmar_Branting -> bornOnDate -> 1960-##-##,Incomplete date,Use a full date.
4. Gene_Bearden -> bornOnDate -> Johny_Aala_Re,Invalid movie in date field,Use a valid date.
5. Hoot_Gibson -> bornOnDate -> Hollywood_Canteen_(1944_film),Invalid movie in date field,Use a valid date.
6. Lead_Belly -> bornOnDate -> 1986-10-27,Inaccurate date,Use historical birth date.
7. Bernt_Øksendal -> bornOnDate -> 1977-##-##,Incomplete date,Use a full date.
8. Michaëlle_Jean -> bornOnDate -> Horror_Hospital,Invalid movie in date field,Use a valid date.
9. Prabhu_Deva_Sundaram -> actedIn -> 1538-##-##,Invalid type year in movie field,Use valid movie.
10. Vassos_Lyssarides -> bornOnDate -> Dodge_City,_Kansas,"Invalid place in date field, Use a valid date."
11. W._Mark_Felt -> bornOnDate -> The_In_Crowd_(film),Invalid movie in date field,Use a valid date.
12. Jimmy_Baio -> bornIn -> 1355-##-##,Invalid type year in place field,Use a valid location.
13. Karl_L._Littrow -> bornOnDate -> Up_the_River,Invalid movie in date field,Use a valid date.
14. John_Laurie -> bornOnDate -> The_Thick_of_It_(U.S._TV_series),Invalid TV series in date field,Use a valid date.
15. Francisco_Barnés_de_Castro -> bornOnDate -> One_Armed_Boxer,Invalid movie in date field,Use a valid date.
16. Tanguturi_Prakasam -> bornIn -> Sunderland,Typo in field assumption,Verify birthplace.
17. Heinz_Hopf -> bornOnDate -> Godavari_(film),Invalid movie in date field,Use a valid date.
18. Rip_Torn -> actedIn -> 11##-##-##,Invalid format in movie field,Use valid movie.
19. George_C._Edwards -> actedIn -> Sokolov_(Sokolov_District),Invalid location in movie field,Use valid movie.
20. Saint_Piatus -> bornIn -> 1949-07-26,Invalid date in place field,Use a valid location.
21. Gidon_Kremer -> bornOnDate -> Brooklyn,Invalid place in date field,Use a valid date.
22. Shreeram_Lagoo -> bornOnDate -> Tel_Aviv,Invalid place in date field,Use a valid date.
23. Radek_Martínek -> bornOnDate -> 1842-##-##,Incomplete date,Use a full date.
24. Ellie_Cornell -> bornOnDate -> Sudetenland,Invalid place in date field,Use a valid date.
25. Eddie_Bracken -> bornOnDate -> Warsaw,Invalid place in date field,Use a valid date.
26. Geber -> bornOnDate -> 1414-##-##,Incomplete date,Use a full date.
1. Juha_Kankkunen -> bornIn -> 1857-02-02,Date instead of location,Change date to location name.
2. Ishaa_Koppikar -> bornIn -> Secrets_%26_Lies,Film instead of location,Change film to location name.
3. Meltem_Cumbul -> actedIn -> 1914-02-14,Date instead of film,Change date to film name.
4. Cybill_Shepherd -> bornOnDate -> Samantha_(film),Film instead of date,Change film to birthdate.
5. Freddie_Prinze -> bornIn -> The_Waiting_Game_(film),Film instead of location,Change film to location name.
6. Sissy_Spacek -> bornIn -> Windsor,_Ontario,"Incorrect predicate, Change 'bornIn' to 'bornOnLocation'."
7. John_Eaton -> actedIn -> 1678-##-##,Date instead of film,Change date to film name.
9. Seki_Kōwa -> bornOnDate -> University_City,_Missouri,"Location instead of date, Change location to birthdate."
10. Anna-Maria_Ferrero -> bornOnDate -> Upper_Nile,_Sudan,"Location instead of date, Change location to birthdate."
11. Eoin_Colfer -> bornIn -> Truth_or_Consequences,Incorrect predicate,Change 'bornIn' to 'bornOnLocation'.
12. Walter_Kwok -> actedIn -> 1770-##-##,Date instead of film,Change date to film name.
13. Nagma -> bornOnDate -> A_Woman_of_the_Sea,Film instead of date,Change film to birthdate.
14. Adélard_Godbout -> bornOnDate -> The_Red_Tent_(film),Film instead of date,Change film to birthdate.
15. Éamon_de_Valera -> bornOnDate -> Juno_(film),Film instead of date,Change film to birthdate.
16. Dory_Funk -> bornOnDate -> Video_Voyeur,Film instead of date,Change film to birthdate.
17. Ng_Man_Tat -> actedIn -> Sasha_%26_John_Digweed_present_Delta_Heavy,Incorrect predicate,Correct predicate could be 'featuredIn'.
18. Rajpal_Yadav -> bornOnDate -> Wrocław,Location instead of date,Change location to birthdate.
19. Francesco_Guccini -> bornOnDate -> Murder,_She_Wrote,"Film instead of date, Change film to birthdate."
20. Eve_Langley -> bornIn -> Sports_Night,Incorrect predicate,Correct predicate could be 'featuredInLocation'.
21. Owen_K._Garriott -> bornOnDate -> 1328-##-##,Possible typo/incomplete date,Provide full date.
25. Lisa_Lu -> bornIn -> 163#-##-##,Incomplete date as location,Provide valid location name.
26. Diego_Abatantuono -> bornIn -> Gregory%27s_Girl,Film instead of location,Change film to location name.
27. Willem_Schouten -> bornIn -> 521-12-07,Date instead of location,Change date to location name.
28. C._H._D._Buys_Ballot -> actedIn -> Criss_Cross_(film),Incorrect type for person,Change 'actedIn' to relevant predicate.
1. Mykhailo_Hrushevskyi -> bornOnDate -> 1972-##-##,born year incorrect,Replace with actual birth year.
2. Medgar_Evers -> actedIn -> 1946-11-20,implausible role for this date,Correct with factual roles.
3. Alma_Mahler-Werfel -> bornOnDate -> Swanee_River_(film),Swanee River is not a date,Replace with birth date.
4. George_Zaharias -> actedIn -> 1976-##-##,year after death,Correct to valid activity date.
5. Islamic_Movement_of_Uzbekistan -> bornOnDate -> The_Spider%27s_Web,not a date,Use date of founding.
6. Hafizullah_Amin -> bornOnDate -> Newport,place not date,Insert correct birth date.
7. Sidney_Spencer -> actedIn -> 626-##-##,implausible historical role,Correct with real role/date.
8. Ehinomen_Ehikhamenor -> actedIn -> 1718-##-##,implausible historical role,Correct with factual role.
9. Bosco_Wong -> bornOnDate -> Amara_Prema,not a date,Use legitimate birth date.
10. Billy_Powers -> bornOnDate -> Brewster_McCloud,Brewster McCloud is not a date,Replace with correct birth date.
11. Dennis_Farina -> bornIn -> The_Somme_-_From_Defeat_to_Victory,not a place,Replace with birth place.
12. Katharine_Hepburn -> bornOnDate -> Generation_O%21,not a date,Use accurate birth date.
13. Nita_Fernando -> bornOnDate -> Youth_Runs_Wild,not a date,Replace with birth date.
14. Pumwaree_Yodkamol -> bornIn -> Fantômas_contre_Scotland_Yard,film not location,Use birth city/country.
15. Auguste_Ambroise_Tardieu -> bornOnDate -> Steady_Company,not a date,Replace with birth date.
16. Llewelyn_Powys -> bornOnDate -> Ben-Hur_(1959_film),film is not a date,Use birth date.
17. Mikio_Sato -> bornIn -> 1966-04-28,date not place,Correct to birthplace.
18. John_L._Jerstad -> bornOnDate -> Birmingham,place not date,Use actual birth date.
19. Laurent_Fabius -> bornOnDate -> Profit_(TV_series),TV series is not a date,Replace with birth date.
20. Kazimierz_Pułaski -> bornIn -> 1938-07-01,date not location,Correct to actual birthplace.
21. Sheri_Moon -> bornOnDate -> Tallinn,location not date,Replace with birth date.
22. Jake_McDorman -> bornIn -> 1698-##-##,date before birth,Use correct birthplace.
23. Toshirō_Mifune -> bornIn -> Temptation_(film),film not location,Insert birth city/region.
24. Leffert_L._Buck -> bornOnDate -> 1975-##-##,born long ago,Use accurate birth date.
25. Roni_Jonah -> actedIn -> Lingen,Lingen is a place,Replace with authentic role.
26. Sancho_IV_of_Castile -> bornIn -> 1596-##-##,born centuries earlier,Correct birthplace year.
27. Chesney_Hawkes -> bornIn -> Varsity_Blues_(film),film not location,Insert real birthplace.
28. Danny_Denzongpa -> actedIn -> Airport_1975,implausible date,if valid correct timeline inconsistencies.
- Paul_Bert_Elvstrøm -> bornOnDate -> Defending_Your_Life,Invalid date format association,Correct to specific date
- Delphine_Seyrig -> bornIn -> Yeshwant,Place seems incorrect,Correct to known birthplace
- Amitabh_Bachchan -> actedIn -> 1914-##-##,Date instead of film title,Correct to specific film
- Chris_Haughton -> actedIn -> 118#-##-##,Date instead of film title,Correct to specific film
- Gerolamo_Emiliani -> bornIn -> Gorey,Unlikely birthplace for him,Correct to known birthplace
- E._Lynn_Harris -> actedIn -> 1402-##-##,Date instead of film title,Correct to specific film
- Armistead_Maupin -> bornOnDate -> Pyongyang,Place instead of date,Correct to specific date
- Lanny_Poffo -> actedIn -> La_Plata,Place instead of film,Correct to specific film
- Amelita_Galli-Curci -> bornOnDate -> Saint-Denis,_Réunion,"Place instead of date, Correct to specific date"
- Abraham_M._Schermerhorn -> bornOnDate -> Rigor_Mortis_(radio),Invalid date format association,Correct to specific date
- Menelik_II_of_Ethiopia -> bornIn -> 1975-##-##,Date instead of place,Correct to known birthplace
- Mac_McCutcheon -> actedIn -> 1772-##-##,Date instead of film title,Correct to specific film
- Isolina_Ferré -> bornOnDate -> Cinderella_(1947_film),Invalid date format association,Correct to specific date
- Canaletto -> bornOnDate -> Berlin,Place instead of date,Correct to specific date
- Ermolao_Barbaro -> bornIn -> 153#-##-##,Date instead of place,Correct to known birthplace
- William_Shatner -> bornOnDate -> Simon_Birch,Invalid date format association,Correct to specific date
- Francesco_Pianeta -> bornOnDate -> The_French_Line,Invalid date format association,Correct to specific date
- Ross_Cuthbert -> actedIn -> 1580-##-##,Date instead of film title,Correct to specific film
- Branko_Radivojevič -> actedIn -> 1369-##-##,Date instead of film title,Correct to specific film
- Carlos_Ortiz -> bornIn -> 500-##-##,Date instead of place,Correct to known birthplace
- Niklaus_Wirth -> bornOnDate -> New_Brunswick,_New_Jersey,"Place instead of date, Correct to specific date"
- Greg_Ginn -> actedIn -> Brasher,_New_York,"Place instead of film, Correct to specific film"
- Benedict_Biscop -> bornIn -> 1673-##-##,Date instead of place,Correct to known birthplace
